Job Title,Job Link,Company,Location,Education,Experience,Deadline,Job Description
Intern-MIS (Web Development),https://jobs.bdjobs.com/jobdetails.asp?id=1355267&fcatId=8&ln=1,PRAN Group,"Dhaka, Natore",Bachelor of Science (BSc)B.Sc in CSE/Software Engineering/IT or final year student from any reputed...,Na,30-Apr-25,"Age 20 to 30 years HTML, CSS, JavaScript, and PHP.
database management system.
Laravel/React/Node.js) 
Eagerness to learn new technologies.Good communication problem-solving skills."
Executive/ Sr. Executive - MIS & WFM,https://jobs.bdjobs.com/jobdetails.asp?id=1355441&fcatId=8&ln=1,Digicon Technologies Ltd.,Mirpur12,N/A,1 to 2 year(s),20-Apr-25,"MIS Reporting
WFM Age 25 to 35 years
Minimum 1-2 years of experience in MIS/WFM in BPO/Similar Industry is preferred.
Must have sound knowledge of advanced MS Excel. (Lookup, Pivot-Table, Function, Formula, Dashboard, Chart/Graph, etc.).
Basic knowledge in SQL, MS Access, Power Query, and Power Pivot will be given preference.
Experiences may relax upon proven domain knowledge and expertise level of handling reporting and analysis capabilities.
Must have knowledge of Call Center KPIs, WFM terminology, and calculation (Erlang C, Occupancy, Utilization, Productivity, Service Level, ACR, etc.).
Must be flexible to work on a Roster basis and willing to work extended hours upon requirements."
ICT support and software maintenance service Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1355327&fcatId=8&ln=1,Handicap International (humanity & Inclusion) in Bangladesh,Ukhia,Bachelor of Science (BSc)Minimum Bachelor of Science (BSc) in CSE or IT or relevant subject from...,1 to 3 year(s),22-Apr-25,"Installation, upgradation of all the operational software.

Ensures software compliance with HI standards.

Keep up to date security software, office applications and operating systems.

Troubleshooting and managing software as per business needs

The following regular maintenance services are included but not in the limit:

Proximity IT Support & Service to HI Staffs.

Regular monitor and keep up to date HI Standard Software

Follow the IT Standard and IT Policy consultant with Country IT & Area Facility Manager -South.

Workstation maintenance support and replace the defective components.

Keep office network live and activate from any attack and keep policy up to date.

Manage network devices like MikroTik Router, Cambium AP, PoE Switch, etc.

Maintain confidentiality with IT administrative password/rights ensuring IT Standard.

Remote assistance for any kind of troubleshooting through any Remote Management software.

Keep users’ data backup as per IT Policy.

Regular maintenance & troubleshooting of laptops/Desktops, Printer, Scanner, photocopier, network devices and keep all the devices up to date and report regular basis.

Ensure Networking of Scanner & Printer and keep functional at all offices Cox, Uhkiya, Teknaf.

Office Applications, Software installation, configuration and maintenance work require.

Check problem of IT related equipment/hardware and fix those under his capacity and those need external service via supplier must refer with problem and solution need further. Also need to follow up time to time till work is done.

Knowledge of LAN, WAN, VPN Internet Connectivity product (Switch, Router, Firewall, IP Camera, Printer, PABX, DVR, NVR) installation, configuration, cabling, and access control setup maintenance.

All computer data of HI is confidential and Freelancer cannot get any access without permission from Area Facility Manager - South.

All Hardware/Accessories/Licenses will be provided by HI only. Counterfeit software is prohibited by HI."
Executive (Sales and Marketing),https://jobs.bdjobs.com/jobdetails.asp?id=1354841&fcatId=8&ln=1,DBS Technology,"Dhaka, Khulna",Diploma or Bachelor degree in any discipline.Candidates with Engineering Background will get...,1 to 2 year(s),08-May-25,"Age 20 to 35 years
Fresher’s are also encouraged to apply.
Females are also encouraged to apply.
The applicants should have experience in the following area(s): Corporate Sales, Sales & Marketing, CCTV Marketing, Software Marketing.
Excellent MS Office skills, knowledge in ICT.
Familiarity with the Position.
The ability to work well under stress.
Team Player.
Planning & Organizing.
Willingness to Learn."
Specialist-Software Maintenance & SAP,https://jobs.bdjobs.com/jobdetails.asp?id=1355311&fcatId=8&ln=1,Singer Bangladesh Limited,GULSHAN 2,Bachelor of Science (BSc) in Computer Science & EngineeringBachelor of Science (BSc) in Information...,At least 5 year(s),30-Apr-25,"Analyze and fulfill business requirements within SAP, specifically in the Materials Management (MM) and Production Planning (PP) modules.

Support day-to-day SAP operations, issue resolution, and enhancement projects.

Collaborate with end-users to gather SAP-related requirements and optimize business processes.

Design, develop, maintain, and update web applications using the Django framework in Python.

Write clean, scalable, and efficient code that follows best practices and coding standards.

Develop and optimize PL/SQL queries, stored procedures, and triggers to generate reports and dashboards for management.

Troubleshoot, debug, and enhance existing systems to ensure stability and performance.

Ensure data security, integrity, and compliance with internal policies.

Provide technical documentation and user guides for developed applications and reports.

Collaborate with end-users to gather SAP-related requirements and optimize business processes."
Assistant Manager- Oracle ERP Support,https://jobs.bdjobs.com/jobdetails.asp?id=1354541&fcatId=8&ln=1,Eco Threads & Yarns,Uttara Sector 17,Bachelor of Science (BSc)B.Sc. Engineering in Computer Science/IPE/ME/Masters in Math/Statistics...,3 to 5 year(s),20-Apr-25,"Solid understanding of Supply Chain Operation & Management best practices based on a global ERP System in a group environment.

3-4 years of hands-on experience in Oracle E-Business suite.

Hands on experience in period end reconciliation process in Inventory and Manufacturing.

Leading the Oracle Supply Chain modules first level of functional support and trouble shooting at the factory premises.

Very strong analytical and problem resolution skills.

Very strong issue tracking and issue management skills.

Communication, team work and team leadership skills."
Senior Cybersecurity Solutions Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1355243&fcatId=8&ln=1,Dekko ISHO Technologies Ltd. (DITECH),Tejgaon Industrial Area,N/A,5 to 8 year(s),30-Apr-25,"Platforms/Tools: Nessus Pro, InsightVM, Metasploit Pro, Burp Suite, CrowdStrike, SentinelOne, Trend Micro

Environments: Windows AD, Exchange, Zimbra, Azure, GCP, Virtualization platforms

Security Domains:

Endpoint, Network, Application, and Data Security

SIEM, SOC, Threat Intelligence, and VAPT

Email Security (Anti-phishing, Anti-spam, Encryption)

Web Application Firewalls (Cloudflare, Imperva, F5, ModSecurity)"
UI/UX Designer,https://jobs.bdjobs.com/jobdetails.asp?id=1354845&fcatId=8&ln=1,Tirzok Pvt. Ltd.,Gulshan,Bachelor of Arts (BA)Bachelor of Science (BSc) in Computer ScienceBachelor of Science (BSc),1 to 2 year(s),08-May-25,"Proficiency in industry-standard design tools such as Figma, Sketch, Adobe XD, etc.
Understanding of user-centered design principles, interaction design, and usability.
Working knowledge of HTML and CSS for design handoff and collaboration with developers.
A strong design portfolio showcasing past work, design thinking, and problem-solving skills."
Web Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1355207&fcatId=8&ln=1,LifeSpring Consultancy Limited,PanthaPath,Subject Background (Educational Requirements):Bachelor’s or Master’s Degree in one of the following...,Na,25-Apr-25,"Design, develop, and implement web-based solutions using a diverse set of programming languages, including HTML, CSS, JavaScript, PHP, and C#.

Utilize modern frameworks and content management systems such as .NET, Laravel, and WordPress to deliver scalable and maintainable applications.

Develop and maintain responsive websites and dynamic web applications.

Ensure compatibility across multiple browsers and devices to provide a consistent user experience.

Optimize website and application performance, focusing on load speed, responsiveness, and resource efficiency.

Identify, troubleshoot, and resolve technical issues and bugs.

Design and implement intuitive, accessible, and user-friendly front-end interfaces."
NOC Engineer - ISP,https://jobs.bdjobs.com/jobdetails.asp?id=1349533&fcatId=8&ln=1,Netcom Internet Service,Mirpur 2,Bachelor of Science (BSc) in Computer ScienceBachelor of Science (BSc) in Computer Science &...,At least 2 year(s),06-May-25,"Planning and Designing ISP Core Network.

Having practical knowledge to install and configure networking router (MIKROTIK), switches (CISCO,BDCOM), OLTs (VSOL, BDCOM, C-DATA), and wireless devices is a must be.

Working with any kinds of Network Troubleshooting and Outages issues.

Configuring and troubleshooting of PPPOE, RADIUS etc services.

Manage GGC, FNA, IX Services, Traffic Queues & Scheduling.

Working with Different types of Switching Service (VLAN, TRUNKING, VTP, STP, RSTP etc.) and GPON OLT, ONU etc.

CCNA/MTCNA course completed.

Mikrotik switch & router.

Working with Different types of Routing Protocols like Static, OSPF, BGP with Multiple Network.

Supervising the NOC team, while working closely with other team, management and external vendors to achieve company's goals.

Collaborating with NOC and System Support Team to ensure efficient service of the company.

Ensure Highest uptime of ISP service with maintaining SLA for all types customer."
